molecule_chembl_id,canonical_smiles,pchembl_value,standard_type,standard_relation,assay_type,assay_chembl_id,document_chembl_id
CHEMBL152968,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1,5.22,IC50,=,A,CHEMBL666153,CHEMBL1148425
CHEMBL292759,COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1,5.00,IC50,=,A,CHEMBL666250,CHEMBL1132410
CHEMBL153741,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4ccc(-c5ccccc5)cc4)CC3)ccc2s1,4.51,IC50,=,A,CHEMBL666153,CHEMBL1148425
CHEMBL542139,COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1.Cl,4.18,IC50,=,A,CHEMBL666250,CHEMBL1132410
CHEMBL276140,CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2,7.89,IC50,=,A,CHEMBL663693,CHEMBL1130195
CHEMBL297784,Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1,7.30,IC50,=,A,CHEMBL663693,CHEMBL1130195
CHEMBL112532,CCCCOc1ccc(-n2ccnc2)cc1,8.15,IC50,=,A,CHEMBL666159,CHEMBL1145921
CHEMBL422858,CCCCOc1ccc(-c2cc(C)no2)cc1,4.85,IC50,=,A,CHEMBL666159,CHEMBL1145921
CHEMBL150681,CCCCOc1ccc(-c2ccno2)cc1,5.49,IC50,=,A,CHEMBL666159,CHEMBL1145921
CHEMBL151449,CCCCOc1cccc(-c2ccno2)c1,6.24,IC50,=,A,CHEMBL666159,CHEMBL1145921
CHEMBL345544,CCCCOc1ccc(-n2cncn2)cc1,6.55,IC50,=,A,CHEMBL666159,CHEMBL1145921
CHEMBL359116,CCCCOc1ccc(-c2cc[nH]c2)cc1,5.23,IC50,=,A,CHEMBL666159,CHEMBL1145921
CHEMBL347303,CCCCOc1ccc(-c2cc[n+](C)[nH]2)cc1,5.06,IC50,=,A,CHEMBL666159,CHEMBL1145921
CHEMBL150799,CCCCOc1ccccc1-c1ccno1,6.92,IC50,=,A,CHEMBL666159,CHEMBL1145921
CHEMBL358214,CCCCOc1ccc(-n2ccnc2C)cc1,5.09,IC50,=,A,CHEMBL666159,CHEMBL1145921
CHEMBL151037,CCCCOc1ccc(-c2ccnn2C)cc1,4.16,IC50,=,A,CHEMBL666159,CHEMBL1145921
CHEMBL348263,CCCCOc1ccc(N/C=N\O)cc1,5.00,IC50,=,A,CHEMBL666159,CHEMBL1145921
CHEMBL151354,CCCCOc1ccc(-c2ccns2)cc1,5.90,IC50,=,A,CHEMBL666159,CHEMBL1145921
CHEMBL433737,CCCCOc1ccc(-c2ccon2)cc1,5.59,IC50,=,A,CHEMBL666159,CHEMBL1145921
CHEMBL149750,CCCCOc1ccc(-c2cc[nH]n2)cc1,5.25,IC50,=,A,CHEMBL666159,CHEMBL1145921
CHEMBL267865,CCCCc1ccc(/N=C/NO)c(C)c1,6.34,IC50,=,A,CHEMBL666159,CHEMBL1145921
CHEMBL356594,CCCCOc1ccc(-c2cc(C)[nH]n2)cc1,4.68,IC50,=,A,CHEMBL666159,CHEMBL1145921
CHEMBL150653,CCCCOc1ccc(-c2ccccn2)cc1,6.31,IC50,=,A,CHEMBL666159,CHEMBL1145921
CHEMBL151170,CCCCOc1ccc(-c2c[nH]cn2)cc1,5.96,IC50,=,A,CHEMBL666159,CHEMBL1145921
CHEMBL150999,CCCCOc1ccc(-c2ncc[nH]2)cc1,4.59,IC50,=,A,CHEMBL666159,CHEMBL1145921
CHEMBL151207,CCCCOc1ccc(-n2cnc(C)c2)cc1,6.41,IC50,=,A,CHEMBL666159,CHEMBL1145921
CHEMBL273921,O=C1c2ccccc2CCCN1CCN1CCC(n2c(O)nc3cc(F)ccc32)CC1,4.21,IC50,=,A,CHEMBL884364,CHEMBL1136643
CHEMBL10921,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,4.00,IC50,=,A,CHEMBL659094,CHEMBL1135959
CHEMBL314445,COc1cc(OC)c2nc3n(c(=O)c2c1)CCc1c-3[nH]c2ccccc12,7.39,IC50,=,A,CHEMBL663694,CHEMBL1136132
