molecule_chembl_id,canonical_smiles,pchembl_value,standard_type,standard_relation,assay_type,assay_chembl_id,document_chembl_id
CHEMBL152968,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1,4.62,IC50,=,A,CHEMBL660388,CHEMBL1148425
CHEMBL153741,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4ccc(-c5ccccc5)cc4)CC3)ccc2s1,4.52,IC50,=,A,CHEMBL660388,CHEMBL1148425
CHEMBL3706620,CC(C)(c1ccc(-c2ccncc2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,6.39,IC50,=,A,CHEMBL660395,CHEMBL1136138
CHEMBL114756,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccncc3)o2)C[C@H]1C(=O)NCC(F)(F)F,5.26,IC50,=,A,CHEMBL660395,CHEMBL1136138
CHEMBL8153,Cc1[nH]cnc1CN1c2ccccc2CN(S(=O)(=O)c2ccc(C(C)(C)C)cc2)CC1CCc1ccccc1,5.52,IC50,=,A,CHEMBL661228,CHEMBL1146667
CHEMBL8414,Cc1[nH]cnc1CN1c2ccccc2CN(S(=O)(=O)c2ccc(Cl)c(Cl)c2)CC1CCc1ccccc1,5.70,IC50,=,A,CHEMBL661228,CHEMBL1146667
CHEMBL8332,CC(C)(C)c1ccc(S(=O)(=O)N2Cc3ccccc3N(Cc3c[nH]cn3)C(CCc3ccccc3)C2)cc1,7.42,IC50,=,A,CHEMBL661226,CHEMBL1146667
CHEMBL430841,Cc1ccc(-c2ccccc2C(=O)Nc2ccc(C(=O)N3C[C@@H]4C5CCC(C5)N4Cc4cc(Cl)ccc43)cc2)cc1,5.13,IC50,=,A,CHEMBL659092,CHEMBL1134932
CHEMBL121241,NCCCc1ccc(S(=O)(=O)N(CCCO)c2ccnn2-c2ccccc2)cc1,4.30,IC50,=,A,CHEMBL659091,CHEMBL1134658
CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,4.72,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL414238,CC(C)CCN(c1ccnn1-c1ccccc1)S(=O)(=O)c1ccc(N)cc1,4.22,IC50,=,A,CHEMBL659091,CHEMBL1134658
CHEMBL121420,O=[N+]([O-])c1cccc(-c2ccc(S(=O)(=O)N(CCCCO)c3ccnn3-c3ccccc3)cc2)c1,4.82,IC50,=,A,CHEMBL659091,CHEMBL1134658
CHEMBL333108,Nc1cccc(-c2ccc(S(=O)(=O)Nc3ccnn3-c3ccccc3)cc2)c1,4.92,IC50,=,A,CHEMBL884338,CHEMBL1134658
CHEMBL171602,CC(=O)C[C@H](c1ccccc1)C1C(=O)Oc2ccccc2C1O,4.87,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL354260,CO[C@]1(C)C[C@H](c2ccccc2)C2C(=O)Oc3ccccc3C2O1,4.80,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL333210,C=CCc1ccc(S(=O)(=O)N(CCCO)c2ccnn2-c2ccccc2)cc1,4.10,IC50,=,A,CHEMBL659091,CHEMBL1134658
CHEMBL603,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,5.60,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,4.57,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL2110339,COC(=O)c1ccc2[nH]c([S@@+]([O-])Cc3nccc(OC)c3OC)nc2c1,4.19,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL1503,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,4.35,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL2114277,CO[C@@]1(C)C[C@H](c2ccccc2)c2c(c3ccccc3oc2=O)O1,4.80,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL120797,Nc1ccc(S(=O)(=O)N(Cc2ccccc2)c2ccnn2-c2ccccc2)cc1,4.26,IC50,=,A,CHEMBL659091,CHEMBL1134658
CHEMBL120426,O=[N+]([O-])c1cccc(-c2ccc(S(=O)(=O)Nc3ccnn3-c3ccccc3)cc2)c1,5.40,IC50,=,A,CHEMBL659091,CHEMBL1134658
CHEMBL1627299,COCCCOc1ccnc(C[S@+]([O-])c2nc3ccccc3[nH]2)c1C,4.43,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL103,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,5.26,Ki,=,A,CHEMBL661229,CHEMBL1148414
