molecule_chembl_id,canonical_smiles,pchembl_value,standard_type,standard_relation,assay_type,assay_chembl_id,document_chembl_id
CHEMBL292759,COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1,4.96,IC50,=,A,CHEMBL666253,CHEMBL1132410
CHEMBL542139,COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1.Cl,4.50,IC50,=,A,CHEMBL666253,CHEMBL1132410
CHEMBL64869,Cc1cccc(S(=O)(=O)NCC(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3ccc(Br)cc3)CC2)c1,5.00,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL64823,O=S(=O)(NCC(c1ccc(C(F)(F)F)cc1)N1CCN(CC(O)COc2ccc(F)cc2)CC1)c1ccccc1Cl,5.00,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL61336,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(C(F)(F)F)cc3)c3ccccc3)CC2)cc1,5.52,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL3706623,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(Cc2ccc(-c3cccnc3)o2)C[C@H]1C(=O)NCC(F)(F)F,5.19,IC50,=,A,CHEMBL663537,CHEMBL1136138
CHEMBL60271,O=C(NCC(c1ccccc1)N1CCN(CC(O)COc2ccccc2)CC1)c1ccc(F)cc1,5.16,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL64583,COc1ccc(OC)c(S(=O)(=O)NCC(c2ccccc2)N2CCN(CC(O)COc3ccc(Br)cc3)CC2)c1,4.52,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL60843,Cc1cccc(C)c1OCC(O)CN1CCN(C(C(=O)NCc2ccccc2)c2ccc(C(F)(F)F)cc2)CC1,6.00,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL61283,COc1ccc(C(=O)NCC(c2ccccc2)N2CCN(CC(O)COc3ccc(Cl)cc3)CC2)cc1,5.40,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL64177,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccccc3)c3ccccc3)CC2)cc1,5.40,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL60847,COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(F)cc3)CC2)cc1,5.30,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL3706619,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccccn3)o2)C[C@H]1C(=O)NCC(F)(F)F,4.53,IC50,=,A,CHEMBL663537,CHEMBL1136138
CHEMBL416848,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(Cl)cc3)c3ccc(F)cc3)CC2)cc1,5.70,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL59712,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(OC)cc3)c3ccccc3)CC2)cc1,6.16,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL64018,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(Cl)cc3)c3ccccc3)CC2)cc1,6.00,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL64114,COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,5.52,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL64831,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(OC)cc3)c3ccccc3)CC2)cc1,5.10,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL60666,COc1ccccc1C(=O)NCC(c1ccccc1)N1CCN(CC(O)COc2ccc(Cl)cc2)CC1,5.16,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL3706620,CC(C)(c1ccc(-c2ccncc2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,6.44,IC50,=,A,CHEMBL663537,CHEMBL1136138
CHEMBL433100,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(OC)cc3)c3ccc(F)cc3)CC2)cc1,5.52,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL59644,COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C(F)(F)F)cc3)CC2)cc1,5.70,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL62240,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccccc3)c3ccccc3)CC2)cc1,5.70,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL61501,COc1ccc(CNC(=O)C(c2ccc(OC)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,5.30,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL64688,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccccc3OC)c3ccccc3)CC2)cc1,5.10,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL63060,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccccc3)c3ccc(F)cc3)CC2)cc1,6.00,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL291629,COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C)cc3)CC2)cc1,5.40,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL59639,C=CCOCC(O)CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,7.00,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL305591,Cc1cccc(C)c1OCC(O)CN1CCN(C(C(=O)NCc2ccccc2)c2ccc(F)cc2)CC1,5.70,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL64491,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(F)cc3)c3ccccc3)CC2)cc1,5.52,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL60568,Cc1ccc(C(C(=O)NCc2ccccc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,5.70,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL62878,O=C(NCC(c1ccccc1)N1CCN(CC(O)COc2ccc(Cl)cc2)CC1)c1ccc(C(F)(F)F)cc1,6.00,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL60256,OC(COc1ccccc1)CN1CCN(C(c2ccccc2)c2ccc(C(F)(F)F)cc2)CC1,6.22,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL64767,COc1ccc(CNC(=O)C(c2ccc(C)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,5.52,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL114756,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccncc3)o2)C[C@H]1C(=O)NCC(F)(F)F,6.28,IC50,=,A,CHEMBL663537,CHEMBL1136138
CHEMBL279835,COc1ccc(CNC(=O)C(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,5.70,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL60622,COc1ccc(CNC(=O)C(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3ccc(OC)cc3)CC2)cc1,5.40,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL64505,COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3ccc(OC)cc3)CC2)cc1,5.16,Ki,=,A,CHEMBL665887,CHEMBL1147532
