method,endpoint,potency_bin,mean_bias,mae,mean_true,n
knn,CYP1A2_pIC50_direct_inhibition,bin0,1.8656395926427807,1.9319813421914438,2.949924486278075,935
knn,CYP1A2_pIC50_direct_inhibition,bin1,0.454122666543662,1.0154659053943662,4.134805832133803,710
knn,CYP1A2_pIC50_direct_inhibition,bin2,-0.007351972208333306,0.8230756359,4.706432497777778,720
knn,CYP1A2_pIC50_direct_inhibition,bin3,-0.2028475083531915,0.7656394193262411,5.105330794340426,2115
knn,CYP1A2_pIC50_direct_inhibition,bin4,-0.7560685031717055,0.9386986939430232,5.854612148437985,2580
knn,CYP2C9_pIC50_direct_inhibition,bin0,1.3550335116194596,1.3955476992410811,3.281675393756757,925
knn,CYP2C9_pIC50_direct_inhibition,bin1,0.5484529266329341,0.7794444129155689,4.175897671497006,1670
knn,CYP2C9_pIC50_direct_inhibition,bin2,-0.18448267327387388,0.6905033820042041,4.666572401246246,1665
knn,CYP2C9_pIC50_direct_inhibition,bin3,-0.5564507689060869,0.734433892227826,5.08405748,1150
knn,CYP2C9_pIC50_direct_inhibition,bin4,-1.0604997216827587,1.1171210812295564,5.719638557881773,1015
knn,CYP2D6_pIC50_direct_inhibition,bin0,2.0195314180551724,2.0688520079655173,2.5431113255431037,580
knn,CYP2D6_pIC50_direct_inhibition,bin1,0.3692929757668831,0.665103756818831,4.310292216896104,1540
knn,CYP2D6_pIC50_direct_inhibition,bin2,0.17181939571590907,0.6431485983922727,4.641717922861364,2200
knn,CYP2D6_pIC50_direct_inhibition,bin3,-0.24662261806216212,0.6652094083824324,5.099903659706081,1480
knn,CYP2D6_pIC50_direct_inhibition,bin4,-0.8623718363909909,1.0183047595957957,5.910856875153153,1665
knn,CYP3A4_pIC50_direct_inhibition,bin0,1.2782253728452877,1.5121679273011015,2.8516247102080783,4085
knn,CYP3A4_pIC50_direct_inhibition,bin1,-0.19215432202034546,0.9050030588395395,4.152234412289827,2605
knn,CYP3A4_pIC50_direct_inhibition,bin2,-0.7574131010783505,1.0454743762402061,4.675880235036082,1940
knn,CYP3A4_pIC50_direct_inhibition,bin3,-0.8600757572325843,1.0538505289067417,5.079501119289326,1780
knn,CYP3A4_pIC50_direct_inhibition,bin4,-1.3363350086600791,1.4040398555944664,5.725896021264822,1265
lgbm,CYP1A2_pIC50_direct_inhibition,bin0,1.5625057859711171,1.5747485462005175,2.949924486278075,935
lgbm,CYP1A2_pIC50_direct_inhibition,bin1,0.502082343257521,0.6574803519932031,4.134805832133803,710
lgbm,CYP1A2_pIC50_direct_inhibition,bin2,0.05456972349253043,0.4576017580628934,4.706432497777778,720
lgbm,CYP1A2_pIC50_direct_inhibition,bin3,-0.12874878340025717,0.4796326083326777,5.105330794340426,2115
lgbm,CYP1A2_pIC50_direct_inhibition,bin4,-0.6355276368170576,0.7307453121080252,5.854612148437985,2580
lgbm,CYP2C9_pIC50_direct_inhibition,bin0,0.9514295584260867,0.972099311327658,3.281675393756757,925
lgbm,CYP2C9_pIC50_direct_inhibition,bin1,0.2833886538730545,0.4314302058279524,4.175897671497006,1670
lgbm,CYP2C9_pIC50_direct_inhibition,bin2,-0.1022318180873123,0.35151842406486034,4.666572401246246,1665
lgbm,CYP2C9_pIC50_direct_inhibition,bin3,-0.40742172629938034,0.48618779284504965,5.08405748,1150
lgbm,CYP2C9_pIC50_direct_inhibition,bin4,-0.872421092495332,0.8849813269861809,5.719638557881773,1015
lgbm,CYP2D6_pIC50_direct_inhibition,bin0,1.8342828906828799,1.8443496203313168,2.5431113255431037,580
lgbm,CYP2D6_pIC50_direct_inhibition,bin1,0.32163053411558074,0.45878622274269704,4.310292216896104,1540
