method,endpoint,st_rae_mean,st_rae_std
lgbm+linear,CYP1A2_pIC50_direct_inhibition,0.9033098913122544,0.05276296247693337
lgbm+isotonic,CYP1A2_pIC50_direct_inhibition,0.9087226988232174,0.052954389953827966
lgbm+raw,CYP1A2_pIC50_direct_inhibition,0.9855289466123368,0.07046287834468172
lgbm+linear,CYP2C9_pIC50_direct_inhibition,0.8825539502134332,0.038104469377575154
lgbm+isotonic,CYP2C9_pIC50_direct_inhibition,0.8970374165644198,0.04306167893722451
lgbm+raw,CYP2C9_pIC50_direct_inhibition,0.9613129766316031,0.05655945035229489
lgbm+linear,CYP2D6_pIC50_direct_inhibition,0.9472458754948522,0.03636784415723125
lgbm+isotonic,CYP2D6_pIC50_direct_inhibition,0.9615203534760208,0.0411795052486523
lgbm+raw,CYP2D6_pIC50_direct_inhibition,1.0628202272539635,0.05740199760180084
lgbm+linear,CYP3A4_pIC50_direct_inhibition,0.7069366963821964,0.044193603876418214
lgbm+isotonic,CYP3A4_pIC50_direct_inhibition,0.715306026702238,0.047230060571155544
lgbm+raw,CYP3A4_pIC50_direct_inhibition,0.7199140070815488,0.04479154765668552
