method,endpoint,st_rae_mean,st_rae_std,n_folds
lgbm,CYP1A2_pIC50_direct_inhibition,0.9855289466123368,0.07046287834468173,25
xgb,CYP1A2_pIC50_direct_inhibition,0.9904305692043033,0.059885069057992034,25
mean,CYP1A2_pIC50_direct_inhibition,1.002123385864556,0.02579682723202835,25
ridge,CYP1A2_pIC50_direct_inhibition,1.5405050539133043,0.10961561736504882,25
knn,CYP1A2_pIC50_direct_inhibition,1.5521137708165293,0.1100145855255213,25
lgbm,CYP2C9_pIC50_direct_inhibition,0.9613129766316031,0.0565594503522949,25
xgb,CYP2C9_pIC50_direct_inhibition,0.9862858869136732,0.057997618469323976,25
mean,CYP2C9_pIC50_direct_inhibition,1.0019248072544737,0.029746722990705632,25
ridge,CYP2C9_pIC50_direct_inhibition,1.365733575482205,0.12308734523590041,25
knn,CYP2C9_pIC50_direct_inhibition,1.878208334961145,0.15193377716326048,25
mean,CYP2D6_pIC50_direct_inhibition,1.0012460247160069,0.006625277545297115,25
lgbm,CYP2D6_pIC50_direct_inhibition,1.0628202272539635,0.057401997601800876,25
xgb,CYP2D6_pIC50_direct_inhibition,1.0667447879098038,0.0434584858368953,25
knn,CYP2D6_pIC50_direct_inhibition,1.5308945040109216,0.13413414196900372,25
ridge,CYP2D6_pIC50_direct_inhibition,1.653163467397016,0.09906175391545705,25
lgbm,CYP3A4_pIC50_direct_inhibition,0.7199140070815488,0.04479154765668553,25
xgb,CYP3A4_pIC50_direct_inhibition,0.7599471749888719,0.04240595217282551,25
mean,CYP3A4_pIC50_direct_inhibition,1.0020385349433756,0.018600107543328467,25
ridge,CYP3A4_pIC50_direct_inhibition,1.025877693768247,0.06208856657067293,25
knn,CYP3A4_pIC50_direct_inhibition,1.6493472454635898,0.07641881170255797,25
