nn_Molecule_Name,n_test_compounds
OCNT-2395648,14
OCNT-2395598,11
OCNT-2310344,10
OCNT-2315978,10
OCNT-2316191,10
OCNT-2313522,10
OCNT-2311376,10
OCNT-2395427,10
OCNT-2310250,10
OCNT-2310986,10
OCNT-2315906,10
OCNT-2316687,10
OCNT-2315972,10
OCNT-2315408,10
OCNT-2310890,10
OCNT-2310562,10
OCNT-2314387,10
OCNT-2310988,10
OCNT-2312554,10
OCNT-2311473,10
OCNT-2318376,10
OCNT-2310534,10
OCNT-2310368,10
OCNT-2317655,10
OCNT-2315409,10
OCNT-2314548,10
OCNT-2311205,10
OCNT-2318340,10
OCNT-2309062,10
OCNT-2314402,10
OCNT-2309846,10
OCNT-2312302,10
OCNT-2309604,10
OCNT-2312156,10
OCNT-2309351,10
OCNT-2316093,10
OCNT-2316531,9
OCNT-2313876,9
OCNT-2310488,9
OCNT-2310945,9
OCNT-2311777,9
OCNT-2312145,9
OCNT-2312337,9
OCNT-2314300,9
OCNT-2313198,9
OCNT-2313122,8
OCNT-2395673,8
OCNT-2317345,8
OCNT-2316976,8
OCNT-2309039,8
OCNT-2312921,8
OCNT-2309819,8
OCNT-2314657,8
OCNT-2310172,8
OCNT-2313300,7
OCNT-2314763,7
OCNT-2313641,7
OCNT-2310458,7
OCNT-2309302,7
OCNT-2313532,7
OCNT-0498014,6
OCNT-2315652,6
OCNT-2316040,6
OCNT-2395633,6
OCNT-2317181,6
OCNT-2312418,6
OCNT-2312208,6
OCNT-2314757,6
OCNT-2395610,6
OCNT-2316746,4
OCNT-2328410,4
OCNT-2316109,4
OCNT-2395279,4
OCNT-2311117,4
OCNT-2318391,4
OCNT-2310946,4
OCNT-2395631,4
OCNT-2395647,4
OCNT-2310925,4
OCNT-2395300,4
OCNT-2312376,3
OCNT-2310589,3
OCNT-2318184,3
OCNT-2395444,3
OCNT-2316854,3
OCNT-2314118,3
OCNT-2395555,3
OCNT-2310440,3
OCNT-2395590,2
OCNT-2395287,2
OCNT-2316585,2
OCNT-0497994,2
OCNT-2316836,2
OCNT-2395671,2
OCNT-2310506,2
OCNT-2311821,2
OCNT-2395674,2
OCNT-2395545,2
OCNT-2311653,2
OCNT-2315036,2
OCNT-2312046,2
OCNT-2315880,1
OCNT-2328892,1
OCNT-2308613,1
OCNT-2328638,1
OCNT-2328565,1
OCNT-0498026,1
OCNT-2395667,1
OCNT-2395413,1
OCNT-2395606,1
OCNT-2395415,1
OCNT-2395612,1
OCNT-2395364,1
OCNT-2311231,1
OCNT-2395466,1
OCNT-2395663,1
OCNT-2395594,1
OCNT-2395675,1
OCNT-2311240,1
OCNT-2313901,1
OCNT-1893998,1
OCNT-2309179,1
OCNT-2310365,1
OCNT-2318616,1
OCNT-2316070,1
OCNT-0497989,1
OCNT-2395417,1
OCNT-2311219,1
OCNT-0497724,1
OCNT-2316215,1
OCNT-2310298,1
OCNT-2310449,1
OCNT-2315748,1
OCNT-2313098,1
OCNT-2313669,1
OCNT-2310581,1
OCNT-2310036,1
OCNT-2395310,1
OCNT-2308475,1
OCNT-2310186,1
OCNT-2395443,1
OCNT-1893991,1
OCNT-0498090,1
