scaffold_smiles,scaffold_type,scaffold_heavy_atoms,n_molecules,mean_value,min_value,max_value,spread
c1ccccc1,ring_system,6,905,4.76,1.95,7.53,5.58
c1cn[nH]c1,ring_system,5,172,4.58,1.95,7.53,5.58
C1CC1,ring_system,3,110,4.57,1.96,7.53,5.57
c1ccc(-c2cn[nH]c2)cc1,linked_ring_systems,11,8,4.4,1.96,7.53,5.57
c1ccc2ncccc2c1,ring_system,10,38,4.91,2.08,7.47,5.39
c1ccncc1,ring_system,6,275,4.84,2.0,7.29,5.29
C1CCNCC1,ring_system,6,241,4.85,2.08,7.28,5.2
C1CCNC1,ring_system,5,140,4.73,2.02,7.19,5.17
c1ccsc1,ring_system,5,53,4.66,1.95,7.07,5.12
c1ccc2ccccc2c1,ring_system,10,22,4.95,2.2,7.24,5.04
c1ccc2[nH]ccc2c1,ring_system,9,67,4.79,2.0,7.02,5.02
c1ccc(-n2cncn2)cc1,linked_ring_systems,11,6,4.85,1.96,6.91,4.95
c1nc[nH]n1,ring_system,5,23,4.72,1.96,6.91,4.95
c1ccc2scnc2c1,ring_system,9,10,4.42,2.1,6.96,4.86
c1ccc2[nH]ncc2c1,ring_system,9,17,4.78,2.07,6.9,4.83
c1c[nH]nn1,ring_system,5,59,4.85,2.45,7.28,4.83
c1ccc(-c2cc[nH]n2)cc1,linked_ring_systems,11,14,4.66,2.26,7.08,4.82
c1cc[nH]c1,ring_system,5,25,4.58,2.09,6.9,4.81
C1=CCNCC1,ring_system,6,10,4.81,2.2,6.97,4.77
c1ccc(-c2ccn[nH]2)cc1,linked_ring_systems,11,5,4.42,2.0,6.71,4.71
C1CNCCN1,ring_system,6,109,4.96,2.39,7.08,4.69
c1nnn[nH]1,ring_system,5,16,4.56,2.2,6.87,4.67
c1ccc(-n2cnnn2)cc1,linked_ring_systems,11,8,4.86,2.2,6.87,4.67
c1ccc2occc2c1,ring_system,9,24,4.87,2.2,6.86,4.66
c1ncon1,ring_system,5,49,4.69,2.01,6.66,4.65
c1cscn1,ring_system,5,59,4.47,1.96,6.61,4.65
c1cnoc1,ring_system,5,28,4.77,1.96,6.52,4.56
c1cnccn1,ring_system,6,22,5.04,2.38,6.94,4.56
c1c[nH]cn1,ring_system,5,156,5.21,2.53,7.02,4.49
c1ccc2c(c1)CCO2,ring_system,9,15,4.81,2.29,6.67,4.38
c1ccoc1,ring_system,5,18,5.05,2.52,6.79,4.27
c1cnc2oncc2c1,ring_system,9,4,3.76,2.0,6.23,4.23
c1ccc2ncncc2c1,ring_system,10,16,5.09,2.72,6.94,4.22
C1CCC1,ring_system,4,40,4.66,2.05,6.17,4.12
c1cncnc1,ring_system,6,61,4.57,2.0,6.03,4.03
c1ccc(-n2cccn2)cc1,linked_ring_systems,11,23,4.29,1.96,5.96,4.0
c1cn[nH]n1,ring_system,5,3,4.18,2.03,5.96,3.93
c1cc2c(s1)CCNC2,ring_system,9,10,5.06,2.52,6.38,3.86
c1ccc2cnccc2c1,ring_system,10,20,5.0,2.66,6.45,3.79
c1cocn1,ring_system,5,24,5.01,3.4,7.19,3.79
c1cnc2[nH]ccc2c1,ring_system,9,10,5.36,3.13,6.91,3.78
c1ccc2c(c1)OCO2,ring_system,9,20,4.52,2.03,5.79,3.76
c1ccc(C2CCC2)cc1,linked_ring_systems,10,10,4.54,2.27,5.95,3.68
c1ccnnc1,ring_system,6,13,4.98,2.72,6.4,3.68
c1ccc(NCc2cn[nH]c2)cc1,linked_ring_systems,13,4,4.27,1.95,5.61,3.66
c1ccc2c(c1)CCNC2,ring_system,10,28,4.86,2.5,6.16,3.66
