stage,method,endpoint,mode,seconds,recorded
fingerprint_sweep,ecfp,CYP1A2_pIC50_direct_inhibition,full,77.5,2026-09-12
fingerprint_sweep,ecfp,CYP2C9_pIC50_direct_inhibition,full,74.3,2026-09-12
fingerprint_sweep,ecfp,CYP2D6_pIC50_direct_inhibition,full,86.1,2026-09-12
fingerprint_sweep,ecfp,CYP3A4_pIC50_direct_inhibition,full,90.5,2026-09-12
fingerprint_sweep,maccs,CYP1A2_pIC50_direct_inhibition,full,64.8,2026-09-12
fingerprint_sweep,maccs,CYP2C9_pIC50_direct_inhibition,full,65.1,2026-09-12
fingerprint_sweep,maccs,CYP2D6_pIC50_direct_inhibition,full,65.5,2026-09-12
fingerprint_sweep,maccs,CYP3A4_pIC50_direct_inhibition,full,68.1,2026-09-12
fingerprint_sweep,rdkit,CYP1A2_pIC50_direct_inhibition,full,96.4,2026-09-12
fingerprint_sweep,rdkit,CYP2C9_pIC50_direct_inhibition,full,418.0,2026-09-12
fingerprint_sweep,rdkit,CYP2D6_pIC50_direct_inhibition,full,1380.5,2026-09-12
fingerprint_sweep,rdkit,CYP3A4_pIC50_direct_inhibition,full,1559.3,2026-09-12
fingerprint_sweep,atompair,CYP1A2_pIC50_direct_inhibition,full,1147.3,2026-09-12
fingerprint_sweep,atompair,CYP2C9_pIC50_direct_inhibition,full,318.2,2026-09-12
fingerprint_sweep,atompair,CYP2D6_pIC50_direct_inhibition,full,90.9,2026-09-12
fingerprint_sweep,atompair,CYP3A4_pIC50_direct_inhibition,full,95.4,2026-09-12
fingerprint_sweep,torsion,CYP1A2_pIC50_direct_inhibition,full,74.1,2026-09-12
fingerprint_sweep,torsion,CYP2C9_pIC50_direct_inhibition,full,74.3,2026-09-12
fingerprint_sweep,torsion,CYP2D6_pIC50_direct_inhibition,full,76.1,2026-09-12
fingerprint_sweep,torsion,CYP3A4_pIC50_direct_inhibition,full,89.1,2026-09-12
fingerprint_sweep,avalon,CYP1A2_pIC50_direct_inhibition,full,90.1,2026-09-12
fingerprint_sweep,avalon,CYP2C9_pIC50_direct_inhibition,full,89.6,2026-09-12
fingerprint_sweep,avalon,CYP2D6_pIC50_direct_inhibition,full,91.4,2026-09-12
fingerprint_sweep,avalon,CYP3A4_pIC50_direct_inhibition,full,98.8,2026-09-12
fingerprint_sweep,mqn,CYP1A2_pIC50_direct_inhibition,full,718.7,2026-09-12
fingerprint_sweep,mqn,CYP2C9_pIC50_direct_inhibition,full,64.8,2026-09-12
fingerprint_sweep,mqn,CYP2D6_pIC50_direct_inhibition,full,65.1,2026-09-12
fingerprint_sweep,mqn,CYP3A4_pIC50_direct_inhibition,full,65.4,2026-09-12
fingerprint_sweep,mordred,CYP1A2_pIC50_direct_inhibition,full,526.0,2026-09-12
fingerprint_sweep,mordred,CYP2C9_pIC50_direct_inhibition,full,3749.2,2026-09-12
fingerprint_sweep,mordred,CYP2D6_pIC50_direct_inhibition,full,2426.7,2026-09-12
fingerprint_sweep,mordred,CYP3A4_pIC50_direct_inhibition,full,5293.9,2026-09-12
new_models,macau,CYP1A2_pIC50_direct_inhibition,full,190.9,2026-09-12
new_models,macau,CYP2C9_pIC50_direct_inhibition,full,187.1,2026-09-12
new_models,macau,CYP2D6_pIC50_direct_inhibition,full,316.4,2026-09-12
new_models,macau,CYP3A4_pIC50_direct_inhibition,full,3055.8,2026-09-12
new_models,tabicl,CYP1A2_pIC50_direct_inhibition,full,891.3,2026-09-12
new_models,tabicl,CYP2C9_pIC50_direct_inhibition,full,526.2,2026-09-12
new_models,tabicl,CYP2D6_pIC50_direct_inhibition,full,787.6,2026-09-12
new_models,tabicl,CYP3A4_pIC50_direct_inhibition,full,463.6,2026-09-12
new_models,tabpfn,CYP1A2_pIC50_direct_inhibition,full,1025.5,2026-09-12
new_models,tabpfn,CYP2C9_pIC50_direct_inhibition,full,2124.1,2026-09-12
new_models,tabpfn,CYP2D6_pIC50_direct_inhibition,full,2479.4,2026-09-12
new_models,tabpfn,CYP3A4_pIC50_direct_inhibition,full,275.5,2026-09-12
new_models,chemprop,CYP1A2_pIC50_direct_inhibition,full,772.7,2026-09-12
new_models,chemprop,CYP2C9_pIC50_direct_inhibition,full,2088.8,2026-09-12
new_models,chemprop,CYP2D6_pIC50_direct_inhibition,full,11635.1,2026-09-12
new_models,chemprop,CYP3A4_pIC50_direct_inhibition,full,15332.4,2026-09-13
multitask,lgbm_singletask,all,full,239.4,2026-09-13
multitask,lgbm_multitask,all,full,69.4,2026-09-13
multitask,xgb_singletask,all,full,85.1,2026-09-13
multitask,xgb_multitask,all,full,36.3,2026-09-13
multitask,macau_singletask,all,full,4765.4,2026-09-13
multitask,macau_multitask,all,full,278.6,2026-09-13
multitask,tabicl_singletask,all,full,529.0,2026-09-14
multitask,tabicl_multitask,all,full,468.6,2026-09-14
multitask,tabpfn_singletask,all,full,826.9,2026-09-14
multitask,tabpfn_multitask,all,full,745.5,2026-09-14
multitask,chemprop_singletask,all,full,8339.0,2026-09-14
multitask,chemprop_multitask,all,full,4772.4,2026-09-14
