stage,method,endpoint,mode,seconds,recorded
tdi_multitask,lgbm_singletask,fold0,full,8.8,2026-09-14
tdi_multitask,lgbm_multitask,fold0,full,3.0,2026-09-14
tdi_multitask,xgb_singletask,fold0,full,2.0,2026-09-14
tdi_multitask,xgb_multitask,fold0,full,1.3,2026-09-14
tdi_multitask,tabicl_singletask,fold0,full,15.4,2026-09-14
tdi_multitask,tabicl_multitask,fold0,full,14.9,2026-09-14
tdi_multitask,tabpfn_singletask,fold0,full,21.4,2026-09-14
tdi_multitask,tabpfn_multitask,fold0,full,22.0,2026-09-14
tdi_multitask,chemprop_singletask,fold0,full,99.7,2026-09-14
tdi_multitask,chemprop_multitask,fold0,full,74.7,2026-09-14
tdi_multitask,majority_singletask,fold0,full,0.1,2026-09-14
tdi_multitask,lgbm_singletask,fold1,full,5.6,2026-09-14
tdi_multitask,lgbm_multitask,fold1,full,3.0,2026-09-14
tdi_multitask,xgb_singletask,fold1,full,2.0,2026-09-14
tdi_multitask,xgb_multitask,fold1,full,1.2,2026-09-14
tdi_multitask,tabicl_singletask,fold1,full,15.2,2026-09-14
tdi_multitask,tabicl_multitask,fold1,full,14.6,2026-09-14
tdi_multitask,tabpfn_singletask,fold1,full,21.0,2026-09-14
tdi_multitask,tabpfn_multitask,fold1,full,21.8,2026-09-14
tdi_multitask,chemprop_singletask,fold1,full,90.9,2026-09-14
tdi_multitask,chemprop_multitask,fold1,full,74.5,2026-09-14
tdi_multitask,majority_singletask,fold1,full,0.2,2026-09-14
tdi_multitask,lgbm_singletask,fold2,full,5.6,2026-09-14
tdi_multitask,lgbm_multitask,fold2,full,3.0,2026-09-14
tdi_multitask,xgb_singletask,fold2,full,2.0,2026-09-14
tdi_multitask,xgb_multitask,fold2,full,1.3,2026-09-14
tdi_multitask,tabicl_singletask,fold2,full,14.2,2026-09-14
tdi_multitask,tabicl_multitask,fold2,full,14.6,2026-09-14
tdi_multitask,tabpfn_singletask,fold2,full,21.0,2026-09-14
tdi_multitask,tabpfn_multitask,fold2,full,21.5,2026-09-14
tdi_multitask,chemprop_singletask,fold2,full,96.9,2026-09-14
tdi_multitask,chemprop_multitask,fold2,full,76.7,2026-09-14
tdi_multitask,majority_singletask,fold2,full,0.2,2026-09-14
tdi_multitask,lgbm_singletask,fold3,full,5.7,2026-09-14
tdi_multitask,lgbm_multitask,fold3,full,225.5,2026-09-14
tdi_multitask,xgb_singletask,fold3,full,2.1,2026-09-14
tdi_multitask,xgb_multitask,fold3,full,1.3,2026-09-14
tdi_multitask,tabicl_singletask,fold3,full,15.1,2026-09-14
tdi_multitask,tabicl_multitask,fold3,full,14.9,2026-09-14
tdi_multitask,tabpfn_singletask,fold3,full,145.9,2026-09-14
tdi_multitask,tabpfn_multitask,fold3,full,22.5,2026-09-14
tdi_multitask,chemprop_singletask,fold3,full,1108.9,2026-09-14
tdi_multitask,chemprop_multitask,fold3,full,348.5,2026-09-14
tdi_multitask,majority_singletask,fold3,full,3.6,2026-09-14
tdi_multitask,lgbm_singletask,fold4,full,5.7,2026-09-14
tdi_multitask,lgbm_multitask,fold4,full,3.0,2026-09-14
tdi_multitask,xgb_singletask,fold4,full,2.0,2026-09-14
tdi_multitask,xgb_multitask,fold4,full,1.3,2026-09-14
tdi_multitask,tabicl_singletask,fold4,full,488.2,2026-09-14
tdi_multitask,tabicl_multitask,fold4,full,14.5,2026-09-14
tdi_multitask,tabpfn_singletask,fold4,full,21.3,2026-09-14
tdi_multitask,tabpfn_multitask,fold4,full,35.2,2026-09-14
tdi_multitask,chemprop_singletask,fold4,full,1790.8,2026-09-14
tdi_multitask,chemprop_multitask,fold4,full,88.3,2026-09-14
tdi_multitask,majority_singletask,fold4,full,3.0,2026-09-14
tdi_multitask,lgbm_singletask,fold5,full,6.9,2026-09-14
tdi_multitask,lgbm_multitask,fold5,full,2.9,2026-09-14
tdi_multitask,xgb_singletask,fold5,full,1.9,2026-09-14
tdi_multitask,xgb_multitask,fold5,full,1.2,2026-09-14
tdi_multitask,tabicl_singletask,fold5,full,16.2,2026-09-14
tdi_multitask,tabicl_multitask,fold5,full,19.1,2026-09-14
tdi_multitask,tabpfn_singletask,fold5,full,29.9,2026-09-14
tdi_multitask,tabpfn_multitask,fold5,full,34.9,2026-09-14
tdi_multitask,chemprop_singletask,fold5,full,98.5,2026-09-14
tdi_multitask,chemprop_multitask,fold5,full,93.3,2026-09-14
tdi_multitask,majority_singletask,fold5,full,0.2,2026-09-14
tdi_multitask,lgbm_singletask,fold6,full,8.2,2026-09-14
tdi_multitask,lgbm_multitask,fold6,full,4.5,2026-09-14
tdi_multitask,xgb_singletask,fold6,full,4.0,2026-09-14
tdi_multitask,xgb_multitask,fold6,full,2.7,2026-09-14
tdi_multitask,tabicl_singletask,fold6,full,28.8,2026-09-14
tdi_multitask,tabicl_multitask,fold6,full,309.8,2026-09-14
tdi_multitask,tabpfn_singletask,fold6,full,21.9,2026-09-14
