method,endpoint,potency_bin,mean_bias,mae,mean_true,n
augmented,CYP1A2_pIC50_direct_inhibition,bin0,1.5003366267700533,1.5003366267700533,2.949924486278075,935
augmented,CYP1A2_pIC50_direct_inhibition,bin1,0.4587446457535211,0.47682072979295775,4.134805832133803,710
augmented,CYP1A2_pIC50_direct_inhibition,bin2,0.07797983444444447,0.3691702105916667,4.706432497777778,720
augmented,CYP1A2_pIC50_direct_inhibition,bin3,-0.1726223539148936,0.39659805744869975,5.105330794340426,2115
augmented,CYP1A2_pIC50_direct_inhibition,bin4,-0.6681728392131783,0.7373926893062016,5.854612148437985,2580
augmented,CYP2C9_pIC50_direct_inhibition,bin0,0.9288155048378378,0.9288155048378378,3.281675393756757,925
augmented,CYP2C9_pIC50_direct_inhibition,bin1,0.27765164,0.3377211393401197,4.175897671497006,1670
augmented,CYP2C9_pIC50_direct_inhibition,bin2,-0.01903177115615617,0.27680225923423424,4.666572401246246,1665
augmented,CYP2C9_pIC50_direct_inhibition,bin3,-0.2543851897391304,0.3513593737269565,5.08405748,1150
augmented,CYP2C9_pIC50_direct_inhibition,bin4,-0.6354081689162562,0.6582507943881772,5.719638557881773,1015
augmented,CYP2D6_pIC50_direct_inhibition,bin0,1.8503245360086207,1.8503245360086207,2.5431113255431037,580
augmented,CYP2D6_pIC50_direct_inhibition,bin1,0.21091586570129872,0.28571780788571427,4.310292216896104,1540
augmented,CYP2D6_pIC50_direct_inhibition,bin2,-0.005264178997727285,0.2988286301804546,4.641717922861364,2200
augmented,CYP2D6_pIC50_direct_inhibition,bin3,-0.33989066700337833,0.44936874445067565,5.099903659706081,1480
augmented,CYP2D6_pIC50_direct_inhibition,bin4,-0.9063464008588589,0.9367668205753754,5.910856875153153,1665
augmented,CYP3A4_pIC50_direct_inhibition,bin0,0.5435830641860465,0.6549663513062424,2.8516247102080783,4085
augmented,CYP3A4_pIC50_direct_inhibition,bin1,0.007027121683301349,0.4083620731366603,4.152234412289827,2605
augmented,CYP3A4_pIC50_direct_inhibition,bin2,-0.22711955189175256,0.4268194848917526,4.675880235036082,1940
augmented,CYP3A4_pIC50_direct_inhibition,bin3,-0.31274794743539325,0.4142465873511236,5.079501119289326,1780
augmented,CYP3A4_pIC50_direct_inhibition,bin4,-0.6294757111462451,0.6653278548790513,5.725896021264822,1265
aux_screen,CYP1A2_pIC50_direct_inhibition,bin0,1.260701277144385,1.2836365925005349,2.949924486278075,935
aux_screen,CYP1A2_pIC50_direct_inhibition,bin1,0.3789898464577464,0.5637959187957746,4.134805832133803,710
aux_screen,CYP1A2_pIC50_direct_inhibition,bin2,0.053563934444444454,0.4815305109722222,4.706432497777778,720
aux_screen,CYP1A2_pIC50_direct_inhibition,bin3,-0.11363018937588654,0.44007738498439714,5.105330794340426,2115
aux_screen,CYP1A2_pIC50_direct_inhibition,bin4,-0.601760523011628,0.6783916215550387,5.854612148437985,2580
aux_screen,CYP2C9_pIC50_direct_inhibition,bin0,0.5695117571621622,0.6372101047491892,3.281675393756757,925
aux_screen,CYP2C9_pIC50_direct_inhibition,bin1,0.16345112287425148,0.4123446515952096,4.175897671497006,1670
aux_screen,CYP2C9_pIC50_direct_inhibition,bin2,-0.013086966711711728,0.35736169973753756,4.666572401246246,1665
aux_screen,CYP2C9_pIC50_direct_inhibition,bin3,-0.18663336713043477,0.34438826877217393,5.08405748,1150
aux_screen,CYP2C9_pIC50_direct_inhibition,bin4,-0.573985137684729,0.5953788269674877,5.719638557881773,1015
aux_screen,CYP2D6_pIC50_direct_inhibition,bin0,1.9136089673879313,1.9136089673879313,2.5431113255431037,580
aux_screen,CYP2D6_pIC50_direct_inhibition,bin1,0.2663731875844156,0.348885934125974,4.310292216896104,1540
aux_screen,CYP2D6_pIC50_direct_inhibition,bin2,0.057883256865909095,0.32559264103045454,4.641717922861364,2200
aux_screen,CYP2D6_pIC50_direct_inhibition,bin3,-0.2533761870033784,0.4096852673439189,5.099903659706081,1480
aux_screen,CYP2D6_pIC50_direct_inhibition,bin4,-0.8536498758138139,0.8815342735483482,5.910856875153153,1665
aux_screen,CYP3A4_pIC50_direct_inhibition,bin0,0.3917620217870257,0.5789959790296206,2.8516247102080783,4085
aux_screen,CYP3A4_pIC50_direct_inhibition,bin1,-0.003940244228406911,0.44227146338387713,4.152234412289827,2605
aux_screen,CYP3A4_pIC50_direct_inhibition,bin2,-0.19825744678865978,0.4460565253278351,4.675880235036082,1940
aux_screen,CYP3A4_pIC50_direct_inhibition,bin3,-0.23455671985112359,0.3866968752376405,5.079501119289326,1780
aux_screen,CYP3A4_pIC50_direct_inhibition,bin4,-0.5654867974703558,0.6018492276379447,5.725896021264822,1265
chemprop_multitask,CYP1A2_pIC50_direct_inhibition,bin0,1.3679011992834225,1.3902244047122994,2.949924486278075,935
chemprop_multitask,CYP1A2_pIC50_direct_inhibition,bin1,0.4586994019507042,0.6161831247338028,4.134805832133803,710
chemprop_multitask,CYP1A2_pIC50_direct_inhibition,bin2,0.15335323236111112,0.46035600570000007,4.706432497777778,720
chemprop_multitask,CYP1A2_pIC50_direct_inhibition,bin3,-0.11050028322931442,0.4037376682070922,5.105330794340426,2115
chemprop_multitask,CYP1A2_pIC50_direct_inhibition,bin4,-0.5991949438643411,0.663216026016279,5.854612148437985,2580
chemprop_multitask,CYP2C9_pIC50_direct_inhibition,bin0,0.6011911747837837,0.6785230164486487,3.281675393756757,925
chemprop_multitask,CYP2C9_pIC50_direct_inhibition,bin1,0.19186393029940116,0.4265873764335329,4.175897671497006,1670
chemprop_multitask,CYP2C9_pIC50_direct_inhibition,bin2,-0.017193259804804815,0.34245298198618623,4.666572401246246,1665
chemprop_multitask,CYP2C9_pIC50_direct_inhibition,bin3,-0.21917718756521737,0.34212328289391297,5.08405748,1150
chemprop_multitask,CYP2C9_pIC50_direct_inhibition,bin4,-0.5857345451724137,0.6065984281221675,5.719638557881773,1015
chemprop_multitask,CYP2D6_pIC50_direct_inhibition,bin0,1.9151169377327588,1.9151169377327588,2.5431113255431037,580
chemprop_multitask,CYP2D6_pIC50_direct_inhibition,bin1,0.30541426323376625,0.4039730837428572,4.310292216896104,1540
chemprop_multitask,CYP2D6_pIC50_direct_inhibition,bin2,0.10255742641136363,0.34335682789681815,4.641717922861364,2200
chemprop_multitask,CYP2D6_pIC50_direct_inhibition,bin3,-0.22934023876013512,0.3806265315466216,5.099903659706081,1480
chemprop_multitask,CYP2D6_pIC50_direct_inhibition,bin4,-0.8200632156336336,0.8475544940804804,5.910856875153153,1665
chemprop_multitask,CYP3A4_pIC50_direct_inhibition,bin0,0.4162543386780906,0.6075744903681763,2.8516247102080783,4085
chemprop_multitask,CYP3A4_pIC50_direct_inhibition,bin1,0.00741781534932821,0.44665555033742804,4.152234412289827,2605
chemprop_multitask,CYP3A4_pIC50_direct_inhibition,bin2,-0.20116699905670102,0.4392000351422681,4.675880235036082,1940
chemprop_multitask,CYP3A4_pIC50_direct_inhibition,bin3,-0.2796420123792135,0.4060351612477528,5.079501119289326,1780
chemprop_multitask,CYP3A4_pIC50_direct_inhibition,bin4,-0.5902452596047431,0.6313454201312253,5.725896021264822,1265
pubchem,CYP1A2_pIC50_direct_inhibition,bin0,1.3267585512620321,1.3505249347315509,2.949924486278075,935
pubchem,CYP1A2_pIC50_direct_inhibition,bin1,0.44764631011971834,0.6173137264661972,4.134805832133803,710
pubchem,CYP1A2_pIC50_direct_inhibition,bin2,0.0926594663888889,0.42215695208333326,4.706432497777778,720
pubchem,CYP1A2_pIC50_direct_inhibition,bin3,-0.08536655400945627,0.39398940790827425,5.105330794340426,2115
pubchem,CYP1A2_pIC50_direct_inhibition,bin4,-0.5885630750658915,0.669649460320155,5.854612148437985,2580
pubchem,CYP2C9_pIC50_direct_inhibition,bin0,0.6115513019189189,0.6638694451751351,3.281675393756757,925
pubchem,CYP2C9_pIC50_direct_inhibition,bin1,0.17031938826347304,0.3929662445005988,4.175897671497006,1670
pubchem,CYP2C9_pIC50_direct_inhibition,bin2,-0.04226209914414416,0.3262056817027027,4.666572401246246,1665
pubchem,CYP2C9_pIC50_direct_inhibition,bin3,-0.2601332295652174,0.37694751876,5.08405748,1150
pubchem,CYP2C9_pIC50_direct_inhibition,bin4,-0.5725077579802956,0.6047731009517241,5.719638557881773,1015
pubchem,CYP2D6_pIC50_direct_inhibition,bin0,1.8943443230775863,1.8943443230775863,2.5431113255431037,580
pubchem,CYP2D6_pIC50_direct_inhibition,bin1,0.28454876661038964,0.3696495455896104,4.310292216896104,1540
pubchem,CYP2D6_pIC50_direct_inhibition,bin2,0.07561636722954544,0.3342693495813637,4.641717922861364,2200
pubchem,CYP2D6_pIC50_direct_inhibition,bin3,-0.23646114051689185,0.40007801283310807,5.099903659706081,1480
pubchem,CYP2D6_pIC50_direct_inhibition,bin4,-0.8207090135915915,0.8660402890726726,5.910856875153153,1665
pubchem,CYP3A4_pIC50_direct_inhibition,bin0,0.4002104739534884,0.5793392906565483,2.8516247102080783,4085
pubchem,CYP3A4_pIC50_direct_inhibition,bin1,-0.004665875437619953,0.4277950547888676,4.152234412289827,2605
pubchem,CYP3A4_pIC50_direct_inhibition,bin2,-0.2275863392113402,0.44873505463814434,4.675880235036082,1940
pubchem,CYP3A4_pIC50_direct_inhibition,bin3,-0.2895442034466292,0.4081263423320225,5.079501119289326,1780
pubchem,CYP3A4_pIC50_direct_inhibition,bin4,-0.5608199696442687,0.6051183576758894,5.725896021264822,1265
pubchem_frozen,CYP1A2_pIC50_direct_inhibition,bin0,1.4731415497647058,1.4770992592320855,2.949924486278075,935
pubchem_frozen,CYP1A2_pIC50_direct_inhibition,bin1,0.5216892287112675,0.6306630429929577,4.134805832133803,710
pubchem_frozen,CYP1A2_pIC50_direct_inhibition,bin2,0.1011702841666667,0.38445084561666665,4.706432497777778,720
pubchem_frozen,CYP1A2_pIC50_direct_inhibition,bin3,-0.12394333769739953,0.3924954036548463,5.105330794340426,2115
pubchem_frozen,CYP1A2_pIC50_direct_inhibition,bin4,-0.6128467874302326,0.684188860507752,5.854612148437985,2580
pubchem_frozen,CYP2C9_pIC50_direct_inhibition,bin0,0.6989873224594595,0.7390428461286487,3.281675393756757,925
pubchem_frozen,CYP2C9_pIC50_direct_inhibition,bin1,0.2160403173053892,0.4079165124550898,4.175897671497006,1670
pubchem_frozen,CYP2C9_pIC50_direct_inhibition,bin2,-0.05107835638138139,0.3101671110732733,4.666572401246246,1665
pubchem_frozen,CYP2C9_pIC50_direct_inhibition,bin3,-0.2912009815652174,0.37548843697391304,5.08405748,1150
pubchem_frozen,CYP2C9_pIC50_direct_inhibition,bin4,-0.6349901729556651,0.6580911437950739,5.719638557881773,1015
pubchem_frozen,CYP2D6_pIC50_direct_inhibition,bin0,1.9336111303189654,1.9336111303189654,2.5431113255431037,580
pubchem_frozen,CYP2D6_pIC50_direct_inhibition,bin1,0.32004528693506495,0.38833557515714284,4.310292216896104,1540
pubchem_frozen,CYP2D6_pIC50_direct_inhibition,bin2,0.08379537136590909,0.30725692426772727,4.641717922861364,2200
pubchem_frozen,CYP2D6_pIC50_direct_inhibition,bin3,-0.26033845551689183,0.395278193920946,5.099903659706081,1480
pubchem_frozen,CYP2D6_pIC50_direct_inhibition,bin4,-0.8390052015795796,0.8943489916672673,5.910856875153153,1665
pubchem_frozen,CYP3A4_pIC50_direct_inhibition,bin0,0.5113367131701346,0.6632760169537332,2.8516247102080783,4085
pubchem_frozen,CYP3A4_pIC50_direct_inhibition,bin1,-0.0032005469539347405,0.45530163780537425,4.152234412289827,2605
pubchem_frozen,CYP3A4_pIC50_direct_inhibition,bin2,-0.25696010632474225,0.44755768300515464,4.675880235036082,1940
pubchem_frozen,CYP3A4_pIC50_direct_inhibition,bin3,-0.3716059960870786,0.4625508084567416,5.079501119289326,1780
pubchem_frozen,CYP3A4_pIC50_direct_inhibition,bin4,-0.6831872954150198,0.7163806897913043,5.725896021264822,1265
selection,CYP1A2_pIC50_direct_inhibition,bin0,1.389666838748663,1.4142723341647059,2.949924486278075,935
selection,CYP1A2_pIC50_direct_inhibition,bin1,0.48319961617605633,0.6348241265084507,4.134805832133803,710
selection,CYP1A2_pIC50_direct_inhibition,bin2,0.1737211440277778,0.48068175819722225,4.706432497777778,720
selection,CYP1A2_pIC50_direct_inhibition,bin3,-0.08375966625531915,0.40430680163687943,5.105330794340426,2115
selection,CYP1A2_pIC50_direct_inhibition,bin4,-0.5790890737480621,0.6482372863348838,5.854612148437985,2580
