stage,method,endpoint,mode,seconds,recorded
aux_arms,multitask,fold0,full,444.3,2026-09-15
aux_arms,aux_screen,fold0,full,64.4,2026-09-15
aux_arms,augmented,fold0,full,63.9,2026-09-15
aux_arms,pubchem,fold0,full,177.7,2026-09-15
aux_arms,pubchem_frozen,fold0,full,151.1,2026-09-15
aux_arms,selection,fold0,full,79.6,2026-09-15
aux_arms,multitask,fold1,full,64.0,2026-09-15
aux_arms,aux_screen,fold1,full,64.5,2026-09-15
aux_arms,augmented,fold1,full,64.2,2026-09-15
aux_arms,pubchem,fold1,full,64.3,2026-09-15
aux_arms,pubchem_frozen,fold1,full,41.6,2026-09-15
aux_arms,selection,fold1,full,987.7,2026-09-15
aux_arms,multitask,fold2,full,734.5,2026-09-15
aux_arms,aux_screen,fold2,full,1099.6,2026-09-15
aux_arms,augmented,fold2,full,974.8,2026-09-15
aux_arms,pubchem,fold2,full,1009.6,2026-09-15
aux_arms,pubchem_frozen,fold2,full,72.6,2026-09-15
aux_arms,selection,fold2,full,80.1,2026-09-15
aux_arms,multitask,fold3,full,63.8,2026-09-15
aux_arms,aux_screen,fold3,full,63.9,2026-09-15
aux_arms,augmented,fold3,full,64.0,2026-09-15
aux_arms,pubchem,fold3,full,65.1,2026-09-15
aux_arms,pubchem_frozen,fold3,full,37.5,2026-09-15
aux_arms,selection,fold3,full,80.9,2026-09-15
aux_arms,multitask,fold4,full,62.6,2026-09-15
aux_arms,aux_screen,fold4,full,62.8,2026-09-15
aux_arms,augmented,fold4,full,62.6,2026-09-15
aux_arms,pubchem,fold4,full,63.4,2026-09-15
aux_arms,pubchem_frozen,fold4,full,36.6,2026-09-15
aux_arms,selection,fold4,full,77.8,2026-09-15
aux_arms,multitask,fold5,full,63.0,2026-09-15
aux_arms,aux_screen,fold5,full,63.2,2026-09-15
aux_arms,augmented,fold5,full,63.8,2026-09-15
aux_arms,pubchem,fold5,full,155.8,2026-09-15
aux_arms,pubchem_frozen,fold5,full,973.9,2026-09-15
aux_arms,selection,fold5,full,1972.1,2026-09-15
aux_arms,multitask,fold6,full,1038.3,2026-09-15
aux_arms,aux_screen,fold6,full,1962.5,2026-09-15
aux_arms,augmented,fold6,full,853.7,2026-09-15
aux_arms,pubchem,fold6,full,743.8,2026-09-15
aux_arms,pubchem_frozen,fold6,full,947.5,2026-09-15
aux_arms,selection,fold6,full,1002.8,2026-09-15
aux_arms,multitask,fold7,full,2000.2,2026-09-15
aux_arms,aux_screen,fold7,full,266.1,2026-09-15
aux_arms,augmented,fold7,full,64.1,2026-09-15
aux_arms,pubchem,fold7,full,64.1,2026-09-15
aux_arms,pubchem_frozen,fold7,full,37.9,2026-09-15
aux_arms,selection,fold7,full,79.4,2026-09-15
aux_arms,multitask,fold8,full,65.1,2026-09-15
aux_arms,aux_screen,fold8,full,64.2,2026-09-15
aux_arms,augmented,fold8,full,63.8,2026-09-15 
aux_arms,pubchem,fold8,full,64.1,2026-09-15
aux_arms,pubchem_frozen,fold8,full,37.0,2026-09-15
aux_arms,selection,fold8,full,78.5,2026-09-15
aux_arms,multitask,fold9,full,63.9,2026-09-15
aux_arms,aux_screen,fold9,full,64.1,2026-09-15
aux_arms,augmented,fold9,full,63.8,2026-09-15
aux_arms,pubchem,fold9,full,64.3,2026-09-15
aux_arms,pubchem_frozen,fold9,full,37.2,2026-09-15
aux_arms,selection,fold9,full,79.8,2026-09-15
aux_arms,multitask,fold10,full,62.6,2026-09-15
aux_arms,aux_screen,fold10,full,62.5,2026-09-15
aux_arms,augmented,fold10,full,62.4,2026-09-15
aux_arms,pubchem,fold10,full,63.7,2026-09-15
aux_arms,pubchem_frozen,fold10,full,36.9,2026-09-15
aux_arms,selection,fold10,full,80.9,2026-09-15
aux_arms,multitask,fold11,full,64.1,2026-09-15
aux_arms,aux_screen,fold11,full,63.9,2026-09-15
aux_arms,augmented,fold11,full,63.8,2026-09-15
aux_arms,pubchem,fold11,full,65.4,2026-09-15
aux_arms,pubchem_frozen,fold11,full,37.0,2026-09-15
aux_arms,selection,fold11,full,79.1,2026-09-15
aux_arms,multitask,fold12,full,63.7,2026-09-15
aux_arms,aux_screen,fold12,full,64.0,2026-09-15
aux_arms,augmented,fold12,full,64.0,2026-09-15
aux_arms,pubchem,fold12,full,64.4,2026-09-15
aux_arms,pubchem_frozen,fold12,full,37.0,2026-09-15
aux_arms,selection,fold12,full,79.4,2026-09-15
aux_arms,multitask,fold13,full,65.7,2026-09-15
aux_arms,aux_screen,fold13,full,64.6,2026-09-15
aux_arms,augmented,fold13,full,66.6,2026-09-15
aux_arms,pubchem,fold13,full,64.8,2026-09-15
aux_arms,pubchem_frozen,fold13,full,37.2,2026-09-15
aux_arms,selection,fold13,full,79.2,2026-09-15
aux_arms,multitask,fold14,full,63.7,2026-09-15
aux_arms,aux_screen,fold14,full,63.6,2026-09-15
aux_arms,augmented,fold14,full,63.7,2026-09-15
aux_arms,pubchem,fold14,full,64.7,2026-09-15
