stage,method,endpoint,mode,seconds,recorded
screen,mve,fold0,full,179.8,2026-09-15
screen,evidential,fold0,full,179.3,2026-09-15
screen,ensemble,fold0,full,3148.3,2026-09-16
screen,dropout,fold0,full,4197.4,2026-09-16
screen,mve,fold1,full,962.8,2026-09-16
screen,evidential,fold1,full,967.2,2026-09-16
screen,ensemble,fold1,full,3962.5,2026-09-16
screen,dropout,fold1,full,1997.2,2026-09-16
screen,mve,fold2,full,965.1,2026-09-16
screen,evidential,fold2,full,1111.7,2026-09-16
screen,ensemble,fold2,full,2571.0,2026-09-16
screen,dropout,fold2,full,67.5,2026-09-16
screen,mve,fold3,full,64.6,2026-09-16
screen,evidential,fold3,full,64.3,2026-09-16
screen,ensemble,fold3,full,230.8,2026-09-16
screen,dropout,fold3,full,66.3,2026-09-16
screen,mve,fold4,full,63.1,2026-09-16
screen,evidential,fold4,full,63.5,2026-09-16
screen,ensemble,fold4,full,1939.6,2026-09-16
screen,dropout,fold4,full,1513.9,2026-09-16
winner_validation,mve,fold0,full,605.9,2026-09-16
winner_validation,mve,fold1,full,288.7,2026-09-16
winner_validation,mve,fold2,full,65.2,2026-09-16
winner_validation,mve,fold3,full,64.1,2026-09-16
winner_validation,mve,fold4,full,64.3,2026-09-16
winner_validation,mve,fold5,full,63.5,2026-09-16
winner_validation,mve,fold6,full,63.8,2026-09-16
winner_validation,mve,fold7,full,63.4,2026-09-16
winner_validation,mve,fold8,full,63.5,2026-09-16
winner_validation,mve,fold9,full,64.0,2026-09-16
winner_validation,mve,fold10,full,62.9,2026-09-16
winner_validation,mve,fold11,full,64.3,2026-09-16
winner_validation,mve,fold12,full,63.9,2026-09-16
winner_validation,mve,fold13,full,64.0,2026-09-16
winner_validation,mve,fold14,full,63.7,2026-09-16
winner_validation,mve,fold15,full,63.8,2026-09-16
winner_validation,mve,fold16,full,63.4,2026-09-16
winner_validation,mve,fold17,full,64.0,2026-09-16
winner_validation,mve,fold18,full,63.8,2026-09-16
winner_validation,mve,fold19,full,63.5,2026-09-16
winner_validation,mve,fold20,full,63.7,2026-09-16
winner_validation,mve,fold21,full,65.0,2026-09-16
winner_validation,mve,fold22,full,776.3,2026-09-16
winner_validation,mve,fold23,full,63.8,2026-09-16
winner_validation,mve,fold24,full,63.0,2026-09-16
