stage,method,endpoint,mode,seconds,recorded
union_arms,pubchem,fold0,full,182.2,2026-09-16
union_arms,pubchem_union,fold0,full,180.2,2026-09-16
union_arms,full_union,fold0,full,309.8,2026-09-16
union_arms,full_union_aux,fold0,full,300.0,2026-09-16
union_arms,pubchem,fold1,full,64.7,2026-09-16
union_arms,pubchem_union,fold1,full,64.7,2026-09-16
union_arms,full_union,fold1,full,65.3,2026-09-16
union_arms,full_union_aux,fold1,full,65.1,2026-09-16
union_arms,pubchem,fold2,full,66.4,2026-09-16
union_arms,pubchem_union,fold2,full,66.2,2026-09-16
union_arms,full_union,fold2,full,64.6,2026-09-16
union_arms,full_union_aux,fold2,full,64.5,2026-09-16
union_arms,pubchem,fold3,full,64.5,2026-09-16
union_arms,pubchem_union,fold3,full,64.7,2026-09-16
union_arms,full_union,fold3,full,64.5,2026-09-16
union_arms,full_union_aux,fold3,full,64.8,2026-09-16
union_arms,pubchem,fold4,full,64.0,2026-09-16
union_arms,pubchem_union,fold4,full,64.3,2026-09-16
union_arms,full_union,fold4,full,65.2,2026-09-16
union_arms,full_union_aux,fold4,full,988.4,2026-09-16
union_arms,pubchem,fold5,full,1036.2,2026-09-16
union_arms,pubchem_union,fold5,full,982.5,2026-09-16
union_arms,full_union,fold5,full,1097.9,2026-09-16
union_arms,full_union_aux,fold5,full,488.3,2026-09-16
union_arms,pubchem,fold6,full,530.0,2026-09-16
union_arms,pubchem_union,fold6,full,1801.4,2026-09-16
union_arms,full_union,fold6,full,318.0,2026-09-16
union_arms,full_union_aux,fold6,full,67.1,2026-09-16
union_arms,pubchem,fold7,full,65.0,2026-09-16
union_arms,pubchem_union,fold7,full,66.0,2026-09-16
union_arms,full_union,fold7,full,64.8,2026-09-16
union_arms,full_union_aux,fold7,full,65.4,2026-09-16
union_arms,pubchem,fold8,full,66.7,2026-09-16
union_arms,pubchem_union,fold8,full,65.7,2026-09-16
union_arms,full_union,fold8,full,66.0,2026-09-16
union_arms,full_union_aux,fold8,full,66.5,2026-09-16
union_arms,pubchem,fold9,full,66.0,2026-09-16
union_arms,pubchem_union,fold9,full,65.3,2026-09-16
union_arms,full_union,fold9,full,69.3,2026-09-16
union_arms,full_union_aux,fold9,full,68.9,2026-09-16
union_arms,pubchem,fold10,full,66.5,2026-09-16
union_arms,pubchem_union,fold10,full,64.4,2026-09-16
union_arms,full_union,fold10,full,63.9,2026-09-16
union_arms,full_union_aux,fold10,full,64.2,2026-09-16
union_arms,pubchem,fold11,full,80.0,2026-09-16
union_arms,pubchem_union,fold11,full,78.5,2026-09-16
union_arms,full_union,fold11,full,64.7,2026-09-16
union_arms,full_union_aux,fold11,full,64.0,2026-09-16
union_arms,pubchem,fold12,full,63.8,2026-09-16
union_arms,pubchem_union,fold12,full,67.7,2026-09-16
union_arms,full_union,fold12,full,916.8,2026-09-16
union_arms,full_union_aux,fold12,full,64.9,2026-09-16
union_arms,pubchem,fold13,full,65.6,2026-09-16
union_arms,pubchem_union,fold13,full,64.1,2026-09-16
union_arms,full_union,fold13,full,64.2,2026-09-16
union_arms,full_union_aux,fold13,full,64.1,2026-09-16
union_arms,pubchem,fold14,full,63.9,2026-09-16
union_arms,pubchem_union,fold14,full,63.9,2026-09-16
union_arms,full_union,fold14,full,63.8,2026-09-16
union_arms,full_union_aux,fold14,full,63.9,2026-09-16
union_arms,pubchem,fold15,full,63.8,2026-09-16
union_arms,pubchem_union,fold15,full,64.0,2026-09-16
union_arms,full_union,fold15,full,64.4,2026-09-16
union_arms,full_union_aux,fold15,full,841.2,2026-09-16
union_arms,pubchem,fold16,full,1037.2,2026-09-16
union_arms,pubchem_union,fold16,full,2023.2,2026-09-16
union_arms,full_union,fold16,full,509.5,2026-09-16
union_arms,full_union_aux,fold16,full,73.6,2026-09-16
union_arms,pubchem,fold17,full,65.4,2026-09-16
union_arms,pubchem_union,fold17,full,65.4,2026-09-16
union_arms,full_union,fold17,full,65.3,2026-09-16
union_arms,full_union_aux,fold17,full,65.8,2026-09-16
