endpoint,arm,n_features,spearman,st_rae
CYP1A2,ecfp,2048,0.4214,0.9696
CYP1A2,pharmacophore_2d,5,0.1723,1.1782
CYP1A2,pharmacophore_3d,7,0.1742,1.1758
CYP1A2,e3fp,1024,0.3553,1.0239
CYP1A2,usrcat,60,0.2279,1.0565
CYP1A2,ecfp+pharmacophore_3d,2055,0.4641,0.9178
CYP2C9,ecfp,2048,0.3713,0.9498
CYP2C9,pharmacophore_2d,5,0.4045,0.9806
CYP2C9,pharmacophore_3d,7,0.4232,0.969
CYP2C9,e3fp,1024,0.2408,1.0987
CYP2C9,usrcat,60,0.3097,0.9874
CYP2C9,ecfp+pharmacophore_3d,2055,0.5598,0.7653
CYP2D6,ecfp,2048,0.3365,1.0905
CYP2D6,pharmacophore_2d,5,0.2446,1.2213
CYP2D6,pharmacophore_3d,7,0.2427,1.2075
CYP2D6,e3fp,1024,0.1978,1.1576
CYP2D6,usrcat,60,0.1577,1.1091
CYP2D6,ecfp+pharmacophore_3d,2055,0.3766,1.0633
CYP3A4,ecfp,2048,0.6048,0.7309
CYP3A4,pharmacophore_2d,5,0.5513,0.8275
CYP3A4,pharmacophore_3d,7,0.5541,0.8139
CYP3A4,e3fp,1024,0.4886,0.8583
CYP3A4,usrcat,60,0.4311,0.9023
CYP3A4,ecfp+pharmacophore_3d,2055,0.7408,0.5721
