arm,endpoint,spearman,ecfp_spearman,lift_vs_ecfp
e3fp,CYP1A2,0.3553,0.4214,-0.0661
e3fp,CYP2C9,0.2408,0.3713,-0.1305
e3fp,CYP2D6,0.1978,0.3365,-0.1387
e3fp,CYP3A4,0.4886,0.6048,-0.1162
ecfp+pharmacophore_3d,CYP1A2,0.4641,0.4214,0.0427
ecfp+pharmacophore_3d,CYP2C9,0.5598,0.3713,0.1885
ecfp+pharmacophore_3d,CYP2D6,0.3766,0.3365,0.0401
ecfp+pharmacophore_3d,CYP3A4,0.7408,0.6048,0.136
pharmacophore_2d,CYP1A2,0.1723,0.4214,-0.2491
pharmacophore_2d,CYP2C9,0.4045,0.3713,0.0332
pharmacophore_2d,CYP2D6,0.2446,0.3365,-0.0919
pharmacophore_2d,CYP3A4,0.5513,0.6048,-0.0535
pharmacophore_3d,CYP1A2,0.1742,0.4214,-0.2472
pharmacophore_3d,CYP2C9,0.4232,0.3713,0.0519
pharmacophore_3d,CYP2D6,0.2427,0.3365,-0.0938
pharmacophore_3d,CYP3A4,0.5541,0.6048,-0.0507
usrcat,CYP1A2,0.2279,0.4214,-0.1935
usrcat,CYP2C9,0.3097,0.3713,-0.0616
usrcat,CYP2D6,0.1577,0.3365,-0.1788
usrcat,CYP3A4,0.4311,0.6048,-0.1737
