stage,method,endpoint,mode,seconds,recorded
featurize,ecfp,CYP1A2,full,3.9,2026-09-17
featurize,pharmacophore_2d,CYP1A2,full,0.3,2026-09-17
featurize,pharmacophore_3d,CYP1A2,full,21.5,2026-09-17
featurize,e3fp,CYP1A2,full,29.1,2026-09-17
featurize,usrcat,CYP1A2,full,19.8,2026-09-17
featurize,ecfp,CYP2C9,full,0.0,2026-09-17
featurize,pharmacophore_2d,CYP2C9,full,0.3,2026-09-17
featurize,pharmacophore_3d,CYP2C9,full,24.3,2026-09-17
featurize,e3fp,CYP2C9,full,29.9,2026-09-17
featurize,usrcat,CYP2C9,full,21.1,2026-09-17
featurize,ecfp,CYP2D6,full,0.0,2026-09-17
featurize,pharmacophore_2d,CYP2D6,full,0.4,2026-09-17
featurize,pharmacophore_3d,CYP2D6,full,65.6,2026-09-17
featurize,e3fp,CYP2D6,full,39.8,2026-09-17
featurize,usrcat,CYP2D6,full,26.4,2026-09-17
featurize,ecfp,CYP3A4,full,1.7,2026-09-17
featurize,pharmacophore_2d,CYP3A4,full,0.6,2026-09-17
featurize,pharmacophore_3d,CYP3A4,full,53.3,2026-09-17
featurize,e3fp,CYP3A4,full,56.0,2026-09-17
featurize,usrcat,CYP3A4,full,36.7,2026-09-17
cv,ecfp,CYP1A2,full,33.9,2026-09-17
cv,pharmacophore_2d,CYP1A2,full,30.4,2026-09-17
cv,pharmacophore_3d,CYP1A2,full,30.7,2026-09-17
cv,e3fp,CYP1A2,full,42.4,2026-09-17
cv,usrcat,CYP1A2,full,36.4,2026-09-17
cv,ecfp+pharmacophore_3d,CYP1A2,full,35.1,2026-09-17
cv,ecfp,CYP2C9,full,33.5,2026-09-17
cv,pharmacophore_2d,CYP2C9,full,30.5,2026-09-17
cv,pharmacophore_3d,CYP2C9,full,30.6,2026-09-17
cv,e3fp,CYP2C9,full,41.6,2026-09-17
cv,usrcat,CYP2C9,full,35.2,2026-09-17
cv,ecfp+pharmacophore_3d,CYP2C9,full,32.9,2026-09-17
cv,ecfp,CYP2D6,full,39.8,2026-09-17
cv,pharmacophore_2d,CYP2D6,full,25.1,2026-09-17
cv,pharmacophore_3d,CYP2D6,full,25.7,2026-09-17
cv,e3fp,CYP2D6,full,44.3,2026-09-17
cv,usrcat,CYP2D6,full,37.1,2026-09-17
cv,ecfp+pharmacophore_3d,CYP2D6,full,39.5,2026-09-17
cv,ecfp,CYP3A4,full,41.8,2026-09-17
cv,pharmacophore_2d,CYP3A4,full,30.3,2026-09-17
cv,pharmacophore_3d,CYP3A4,full,30.7,2026-09-17
cv,e3fp,CYP3A4,full,42.2,2026-09-17
cv,usrcat,CYP3A4,full,35.4,2026-09-17
