bit,residue,interaction,hit_rate
PHE120.A|Hydrophobic,PHE120.A,Hydrophobic,0.8238446081714669
GLN244.A|Hydrophobic,GLN244.A,Hydrophobic,0.4896182183523108
PHE247.A|Hydrophobic,PHE247.A,Hydrophobic,0.46483590087073007
PHE120.A|PiStacking,PHE120.A,PiStacking,0.31681178834561285
LEU248.A|Hydrophobic,LEU248.A,Hydrophobic,0.2826523777628935
PHE112.A|Hydrophobic,PHE112.A,Hydrophobic,0.17749497655726726
LEU213.A|Hydrophobic,LEU213.A,Hydrophobic,0.1681178834561286
PHE483.A|Hydrophobic,PHE483.A,Hydrophobic,0.13663764233087744
LEU484.A|Hydrophobic,LEU484.A,Hydrophobic,0.11721366376423309
VAL370.A|Hydrophobic,VAL370.A,Hydrophobic,0.10515740120562625
LEU121.A|Hydrophobic,LEU121.A,Hydrophobic,0.10381781647689216
GLU216.A|HBDonor,GLU216.A,HBDonor,0.10180843938379103
ASP301.A|Hydrophobic,ASP301.A,Hydrophobic,0.08573342263898191
SER304.A|HBDonor,SER304.A,HBDonor,0.08372404554588078
PHE247.A|PiStacking,PHE247.A,PiStacking,0.07568653717347622
GLU216.A|Hydrophobic,GLU216.A,Hydrophobic,0.05760214333556597
VAL308.A|Hydrophobic,VAL308.A,Hydrophobic,0.046215673141326186
LEU110.A|Hydrophobic,LEU110.A,Hydrophobic,0.041527126590756865
ASP301.A|HBDonor,ASP301.A,HBDonor,0.041527126590756865
ALA209.A|HBDonor,ALA209.A,HBDonor,0.033489618218352314
