stage,method,endpoint,mode,seconds,recorded
docking,smina,CYP1A2_chunk0,full,390.6,2026-09-18
docking,smina,CYP1A2_chunk1,full,2403.5,2026-09-18
docking,smina,CYP1A2_chunk2,full,439.6,2026-09-18
docking,smina,CYP1A2_chunk3,full,941.2,2026-09-18
docking,smina,CYP1A2_chunk4,full,387.2,2026-09-18
docking,smina,CYP1A2_chunk5,full,1997.7,2026-09-18
docking,smina,CYP1A2_chunk6,full,4090.0,2026-09-18
docking,smina,CYP1A2_chunk7,full,4666.7,2026-09-18
docking,smina,CYP2D6_chunk0,full,612.4,2026-09-18
docking,smina,CYP2D6_chunk1,full,2342.3,2026-09-18
docking,smina,CYP2D6_chunk2,full,1931.7,2026-09-18
docking,smina,CYP2D6_chunk3,full,2955.8,2026-09-18
docking,smina,CYP2D6_chunk4,full,2771.5,2026-09-18
docking,smina,CYP2D6_chunk5,full,1563.7,2026-09-18
docking,smina,CYP2D6_chunk6,full,1583.7,2026-09-18
docking,smina,CYP2D6_chunk7,full,5406.4,2026-09-18
docking,smina,CYP2D6_chunk8,full,4606.8,2026-09-18
docking,smina,CYP2D6_chunk9,full,479.6,2026-09-18
docking,smina,CYP2D6_chunk10,full,455.5,2026-09-18
docking,smina,CYP2D6_chunk11,full,3744.4,2026-09-18
docking,smina,CYP2D6_chunk12,full,5277.2,2026-09-18
docking,smina,CYP2D6_chunk13,full,10874.4,2026-09-18
docking,smina,CYP2D6_chunk14,full,11662.0,2026-09-19
plif,prolif,CYP2D6,full,6.4,2026-09-19
unimol,etkdg,CYP2D6,full,981.6,2026-09-19
unimol,docked,CYP2D6,full,1003.7,2026-09-19
cv_lgbm,ecfp,CYP2D6,full,1109.2,2026-09-19
cv_lgbm,unimol_etkdg,CYP2D6,full,1970.6,2026-09-19
cv_lgbm,unimol_docked,CYP2D6,full,1302.7,2026-09-19
cv_lgbm,docking_score,CYP2D6,full,662.2,2026-09-19
cv_lgbm,plif,CYP2D6,full,889.5,2026-09-19
chemprop_molecule,pubchem_docking_score,fold0,full,150.6,2026-09-19
chemprop_molecule,pubchem_plif,fold0,full,144.3,2026-09-19
chemprop_molecule,pubchem_docking_score,fold1,full,32.0,2026-09-19
chemprop_molecule,pubchem_plif,fold1,full,31.9,2026-09-19
chemprop_molecule,pubchem_docking_score,fold2,full,32.4,2026-09-19
chemprop_molecule,pubchem_plif,fold2,full,32.7,2026-09-19
chemprop_molecule,pubchem_docking_score,fold3,full,32.4,2026-09-19
chemprop_molecule,pubchem_plif,fold3,full,31.4,2026-09-19
chemprop_molecule,pubchem_docking_score,fold4,full,30.6,2026-09-19
chemprop_molecule,pubchem_plif,fold4,full,30.9,2026-09-19
chemprop_molecule,pubchem_docking_score,fold5,full,31.9,2026-09-19
chemprop_molecule,pubchem_plif,fold5,full,32.6,2026-09-19
chemprop_molecule,pubchem_docking_score,fold6,full,32.7,2026-09-19
chemprop_molecule,pubchem_plif,fold6,full,31.9,2026-09-19
chemprop_molecule,pubchem_docking_score,fold7,full,32.3,2026-09-19
chemprop_molecule,pubchem_plif,fold7,full,32.1,2026-09-19
chemprop_molecule,pubchem_docking_score,fold8,full,32.9,2026-09-19
chemprop_molecule,pubchem_plif,fold8,full,33.7,2026-09-19
chemprop_molecule,pubchem_docking_score,fold9,full,34.4,2026-09-19
chemprop_molecule,pubchem_plif,fold9,full,31.7,2026-09-19
chemprop_molecule,pubchem_docking_score,fold10,full,33.0,2026-09-19
chemprop_molecule,pubchem_plif,fold10,full,32.6,2026-09-19
chemprop_molecule,pubchem_docking_score,fold11,full,32.5,2026-09-19
chemprop_molecule,pubchem_plif,fold11,full,30.3,2026-09-19
chemprop_molecule,pubchem_docking_score,fold12,full,31.9,2026-09-19
chemprop_molecule,pubchem_plif,fold12,full,30.5,2026-09-19
chemprop_molecule,pubchem_docking_score,fold13,full,33.8,2026-09-19
chemprop_molecule,pubchem_plif,fold13,full,32.4,2026-09-19
chemprop_molecule,pubchem_docking_score,fold14,full,33.8,2026-09-19
chemprop_molecule,pubchem_plif,fold14,full,32.4,2026-09-19
chemprop_molecule,pubchem_docking_score,fold15,full,32.1,2026-09-19
chemprop_molecule,pubchem_plif,fold15,full,33.8,2026-09-19
chemprop_molecule,pubchem_docking_score,fold16,full,31.8,2026-09-19
chemprop_molecule,pubchem_plif,fold16,full,32.5,2026-09-19
chemprop_molecule,pubchem_docking_score,fold17,full,30.5,2026-09-19
chemprop_molecule,pubchem_plif,fold17,full,33.3,2026-09-19
chemprop_molecule,pubchem_docking_score,fold18,full,32.2,2026-09-19
chemprop_molecule,pubchem_plif,fold18,full,31.5,2026-09-19
chemprop_molecule,pubchem_docking_score,fold19,full,32.6,2026-09-19
chemprop_molecule,pubchem_plif,fold19,full,33.9,2026-09-19
chemprop_molecule,pubchem_docking_score,fold20,full,32.0,2026-09-19
chemprop_molecule,pubchem_plif,fold20,full,33.0,2026-09-19
chemprop_molecule,pubchem_docking_score,fold21,full,34.6,2026-09-19
